filename	year	genre	screenshot	ngh	name	manu	psize	ssize	msize	v1size	v2size	csize
2020bb.neo	1991	3	185	030	2020 Super Baseball (set 1)	SNK / Pallas	80000	20000	20000	200000	0	400000
2020bba.neo	1991	3	185	030	2020 Super Baseball (set 2)	SNK / Pallas	80000	20000	20000	200000	0	400000
2020bbh.neo	1991	3	185	030	2020 Super Baseball (set 3)	SNK / Pallas	80000	20000	20000	200000	0	400000
3countb.neo	1993	9	186	043	3 Count Bout	SNK	100000	20000	20000	400000	0	800000
alpham2.neo	1991	7	1	007	Alpha Mission II	SNK	a0000	20000	20000	200000	0	300000
alpham2p.neo	1991	7	1	007	Alpha Mission II (prototype)	SNK	100000	20000	20000	180000	200000	400000
androdun.neo	1992	7	2	049	Andro Dunos	Visco	100000	20000	20000	100000	0	200000
aodk.neo	1994	9	3	074	Aggressors of Dark Kombat	ADK / SNK	200000	20000	20000	400000	0	1000000
aof.neo	1992	9	4	044	Art of Fighting	SNK	80000	20000	20000	400000	0	800000
aof2.neo	1994	9	5	056	Art of Fighting 2	SNK	100000	20000	20000	500000	0	1000000
aof2a.neo	1994	9	5	056	Art of Fighting 2 (AES)	SNK	100000	20000	20000	500000	0	1000000
aof3.neo	1996	9	6	096	Art of Fighting 3	SNK	300000	20000	20000	600000	0	1c00000
aof3k.neo	1996	9	6	196	Art of Fighting 3 (Korean)	SNK	300000	20000	20000	600000	0	1c00000
b2b.neo	2000	1	7	071	Bang Bang Busters	Visco	80000	20000	20000	100000	0	400000
bakatono.neo	1991	6	8	036	Bakatonosama Mahjong Manyuuki	Monolith Corp.	80000	20000	20000	200000	0	400000
bangbead.neo	2000	3	9	259	Bang Bead	Visco	200000	20000	20000	500000	0	1000000
bjourney.neo	1990	5	10	022	Blue's Journey	Alpha Denshi Co.	100000	20000	20000	100000	200000	300000
bjourneyh.neo	1990	5	10	022	Blue's Journey / Raguy (ALH-001)	Alpha Denshi Co.	100000	20000	20000	200000	0	300000
blazstar.neo	1998	7	11	239	Blazing Star	Yumekobo	300000	20000	20000	800000	0	2000000
breakers.neo	1996	9	12	230	Breakers	Visco	200000	20000	20000	800000	0	1000000
breakrev.neo	1998	9	13	245	Breakers Revenge	Visco	200000	20000	20000	800000	0	1800000
bstars.neo	1990	3	14	002	Baseball Stars Professional	SNK	80000	20000	40000	200000	80000	300000
bstars2.neo	1992	3	15	041	Baseball Stars 2	SNK	80000	20000	20000	280000	0	400000
bstarsh.neo	1990	3	14	002	Baseball Stars Professional (AES	SNK	80000	20000	40000	200000	80000	300000
burningf.neo	1991	2	16	018	Burning Fight	SNK	80000	20000	20000	200000	0	400000
burningfh.neo	1991	2	16	018	Burning Fight (AES)	SNK	80000	20000	20000	200000	0	400000
burningfp.neo	1991	2	16	018	Burning Fight (prototype)	SNK	100000	20000	20000	180000	0	400000
burningfpa.neo	1991	2	16	018	Burning Fight (prototype 2)	SNK	100000	20000	20000	200000	0	400000
burningfpb.neo	1991	2	16	018	Burning Fight (prototype 1)	SNK	100000	20000	20000	200000	0	400000
crswd2bl.neo	1996	1	17	054	Crossed Swords 2	SNK/ADK	200000	20000	20000	200000	0	800000
crsword.neo	1991	1	18	037	Crossed Swords	Alpha Denshi Co.	80000	20000	20000	100000	0	400000
ct2k3sa.neo	2003	9	19	5003	Crouching Tiger Hidden Dragon al	bootleg	500000	20000	20000	1000000	0	4000000
ct2k3sp.neo	2003	9	19	5003	Crouching Tiger Hidden Dragon SP	bootleg	500000	40000	20000	1000000	0	4000000
cthd2003.neo	2003	9	20	5003	Crouching Tiger Hidden Dragon	bootleg	500000	20000	20000	1000000	0	4000000
ctomaday.neo	1999	7	21	249	Captain Tomaday	Visco	200000	20000	20000	500000	0	800000
cyberlip.neo	1990	1	22	010	Cyber-Lip	SNK	80000	20000	20000	200000	80000	300000
diggerma.neo	2000	10	23	066	Digger Man (prototype)	Kyle Hodgetts	80000	20000	20000	80000	0	100000
doubledr.neo	1995	9	24	082	Double Dragon	Technos Japan	200000	20000	20000	400000	0	e00000
dragonsh.neo	2000	9	25	094	Dragon's Heaven (dev)	Face	100000	20000	20000	200000	0	2000000
eightman.neo	1991	1	26	025	Eight Man	SNK / Pallas	80000	20000	20000	200000	0	300000
fatfursp.neo	1993	9	27	058	Fatal Fury Special	SNK	180000	20000	20000	500000	0	c00000
fatfurspa.neo	1993	9	27	058	Fatal Fury Special (AES)	SNK	180000	20000	20000	500000	0	c00000
fatfury1.neo	1991	9	28	033	Fatal Fury - King of Fighters	SNK	a0000	20000	20000	200000	0	400000
fatfury2.neo	1992	9	29	047	Fatal Fury 2	SNK	100000	20000	20000	400000	0	800000
fatfury3.neo	1995	9	30	069	Fatal Fury 3	SNK	300000	20000	20000	a00000	0	1400000
fbfrenzy.neo	1992	3	31	034	Football Frenzy	SNK	80000	20000	20000	200000	0	300000
fightfev.neo	1994	9	32	060	Fight Fever (set 1)	Viccom	100000	20000	20000	300000	0	800000
fightfeva.neo	1994	9	32	060	Fight Fever (set 2)	Viccom	100000	20000	20000	300000	0	800000
flipshot.neo	1998	3	33	247	Battle Flip Shot	Visco	100000	20000	20000	200000	0	400000
froman2b.neo	1995	6	34	098	Idol Mahjong Final Romance 2	Video System	80000	20000	20000	100000	0	800000
fswords.neo	1995	9	35	187	Samurai Shodown III (Korean)	SNK	300000	20000	20000	600000	0	1a00000
galaxyfg.neo	1995	9	36	078	Galaxy Fight	Sunsoft	200000	20000	20000	500000	0	e00000
ganryu.neo	1999	1	37	252	Ganryu	Visco	200000	20000	20000	400000	0	1000000
garou.neo	1999	9	38	253	Garou: Mark of the Wolves	SNK	900000	80000	40000	1000000	0	4000000
garoubl.neo	1999	9	38	253	Garou: Mark of the Wolves (boot)	bootleg	500000	20000	80000	1000000	0	4000000
garouh.neo	1999	9	38	253	Garou: Mark of the Wolves (AES)	SNK	900000	80000	40000	1000000	0	4000000
garouha.neo	1999	9	38	253	Garou: Mark of the Wolves (AES)	SNK	900000	80000	40000	1000000	0	4000000
garoup.neo	1999	9	38	253	Garou: Mark of the Wolves proto	SNK	500000	20000	40000	1000000	0	4000000
ghostlop.neo	1996	10	39	228	Ghostlop (prototype)	Data East	100000	20000	20000	200000	0	800000
